Year,Proficiency level,Skill,Geography,Gender,Age group,GeoCode,Value
2012,2 or below,Numeracy,Nova Scotia,Men+,16 to 24 years,12,54.8
2012,3 or above,Numeracy,Nova Scotia,Men+,16 to 24 years,12,45.2
2012,2 or below,Literacy,Nova Scotia,Men+,25 to 34 years,12,32.7
2012,3 or above,Literacy,Nova Scotia,Men+,25 to 34 years,12,67.3
2012,2 or below,Numeracy,Nova Scotia,Men+,25 to 34 years,12,35.4
2012,3 or above,Numeracy,Nova Scotia,Men+,25 to 34 years,12,64.6
2012,2 or below,Literacy,Nova Scotia,Men+,35 to 44 years,12,42.5
2012,3 or above,Literacy,Nova Scotia,Men+,35 to 44 years,12,57.5
2012,2 or below,Numeracy,Nova Scotia,Men+,35 to 44 years,12,45.0
2012,3 or above,Numeracy,Nova Scotia,Men+,35 to 44 years,12,55.0
2012,2 or below,Literacy,Nova Scotia,Men+,45 to 54 years,12,55.3
2012,3 or above,Literacy,Nova Scotia,Men+,45 to 54 years,12,44.7
2012,2 or below,Numeracy,Nova Scotia,Men+,45 to 54 years,12,59.0
2012,3 or above,Numeracy,Nova Scotia,Men+,45 to 54 years,12,41.0
2012,2 or below,Literacy,Nova Scotia,Men+,55 to 65 years,12,58.7
2012,3 or above,Literacy,Nova Scotia,Men+,55 to 65 years,12,41.3
2012,2 or below,Numeracy,Nova Scotia,Men+,55 to 65 years,12,59.8
2012,3 or above,Numeracy,Nova Scotia,Men+,55 to 65 years,12,40.2
2012,2 or below,Literacy,Nova Scotia,Women+,Total,12,51.2
2012,3 or above,Literacy,Nova Scotia,Women+,Total,12,48.8
2012,2 or below,Numeracy,Nova Scotia,Women+,Total,12,64.1
2012,3 or above,Numeracy,Nova Scotia,Women+,Total,12,35.9
2012,2 or below,Literacy,Nova Scotia,Women+,16 to 24 years,12,57.5
2012,3 or above,Literacy,Nova Scotia,Women+,16 to 24 years,12,42.5
2012,2 or below,Numeracy,Nova Scotia,Women+,16 to 24 years,12,67.6
2012,3 or above,Numeracy,Nova Scotia,Women+,16 to 24 years,12,32.4
2012,2 or below,Literacy,Nova Scotia,Women+,25 to 34 years,12,42.2
2012,3 or above,Literacy,Nova Scotia,Women+,25 to 34 years,12,57.8
2012,2 or below,Numeracy,Nova Scotia,Women+,25 to 34 years,12,57.9
2012,3 or above,Numeracy,Nova Scotia,Women+,25 to 34 years,12,42.1
2012,2 or below,Literacy,Nova Scotia,Women+,35 to 44 years,12,40.4
2012,3 or above,Literacy,Nova Scotia,Women+,35 to 44 years,12,59.6
2012,2 or below,Numeracy,Nova Scotia,Women+,35 to 44 years,12,54.2
2012,3 or above,Numeracy,Nova Scotia,Women+,35 to 44 years,12,45.8
2012,2 or below,Literacy,Nova Scotia,Women+,45 to 54 years,12,49.8
2012,3 or above,Literacy,Nova Scotia,Women+,45 to 54 years,12,50.2
2012,2 or below,Numeracy,Nova Scotia,Women+,45 to 54 years,12,63.1
2012,3 or above,Numeracy,Nova Scotia,Women+,45 to 54 years,12,36.9
2012,2 or below,Literacy,Nova Scotia,Women+,55 to 65 years,12,63.5
2012,3 or above,Literacy,Nova Scotia,Women+,55 to 65 years,12,36.5
2012,2 or below,Numeracy,Nova Scotia,Women+,55 to 65 years,12,75.1
2012,3 or above,Numeracy,Nova Scotia,Women+,55 to 65 years,12,24.9
2012,2 or below,Literacy,New Brunswick,Total,Total,13,53.5
2012,3 or above,Literacy,New Brunswick,Total,Total,13,46.5
2012,2 or below,Numeracy,New Brunswick,Total,Total,13,63.1
2012,3 or above,Numeracy,New Brunswick,Total,Total,13,36.9
2012,2 or below,Literacy,New Brunswick,Total,16 to 24 years,13,59.4
