Year,Type of institution attended,Geography,Age group,GeoCode,Value
2016/2017,University,Manitoba,15 to 19 years,46,14
2016/2017,Total participation rate,Manitoba,20 to 24 years,46,33
2016/2017,Elementary/High School,Manitoba,20 to 24 years,46,1
2016/2017,College,Manitoba,20 to 24 years,46,5
2016/2017,University,Manitoba,20 to 24 years,46,26
2016/2017,Total participation rate,Manitoba,25 to 29 years,46,12
2016/2017,College,Manitoba,25 to 29 years,46,4
2016/2017,University,Manitoba,25 to 29 years,46,8
2016/2017,Total participation rate,Saskatchewan,15 to 19 years,47,78
2016/2017,Elementary/High School,Saskatchewan,15 to 19 years,47,64
2016/2017,College,Saskatchewan,15 to 19 years,47,4
2016/2017,University,Saskatchewan,15 to 19 years,47,10
2016/2017,Total participation rate,Saskatchewan,20 to 24 years,47,30
2016/2017,Elementary/High School,Saskatchewan,20 to 24 years,47,2
2016/2017,College,Saskatchewan,20 to 24 years,47,6
2016/2017,University,Saskatchewan,20 to 24 years,47,23
2016/2017,Total participation rate,Saskatchewan,25 to 29 years,47,9
2016/2017,College,Saskatchewan,25 to 29 years,47,2
2016/2017,University,Saskatchewan,25 to 29 years,47,6
2016/2017,Total participation rate,Alberta,15 to 19 years,48,80
2016/2017,Elementary/High School,Alberta,15 to 19 years,48,63
2016/2017,College,Alberta,15 to 19 years,48,5
2016/2017,University,Alberta,15 to 19 years,48,13
2016/2017,Total participation rate,Alberta,20 to 24 years,48,31
2016/2017,Elementary/High School,Alberta,20 to 24 years,48,1
2016/2017,College,Alberta,20 to 24 years,48,7
2016/2017,University,Alberta,20 to 24 years,48,23
2016/2017,Total participation rate,Alberta,25 to 29 years,48,11
2016/2017,College,Alberta,25 to 29 years,48,4
2016/2017,University,Alberta,25 to 29 years,48,8
2016/2017,Total participation rate,British Columbia,15 to 19 years,59,81
2016/2017,Elementary/High School,British Columbia,15 to 19 years,59,59
2016/2017,College,British Columbia,15 to 19 years,59,7
2016/2017,University,British Columbia,15 to 19 years,59,15
2016/2017,Total participation rate,British Columbia,20 to 24 years,59,39
2016/2017,Elementary/High School,British Columbia,20 to 24 years,59,1
2016/2017,College,British Columbia,20 to 24 years,59,10
2016/2017,University,British Columbia,20 to 24 years,59,28
2016/2017,Total participation rate,British Columbia,25 to 29 years,59,12
2016/2017,College,British Columbia,25 to 29 years,59,4
2016/2017,University,British Columbia,25 to 29 years,59,7
2016/2017,Total participation rate,Yukon,15 to 19 years,60,78
2016/2017,Elementary/High School,Yukon,15 to 19 years,60,57
2016/2017,University,Yukon,15 to 19 years,60,14
2016/2017,Total participation rate,Yukon,20 to 24 years,60,19
2016/2017,University,Yukon,20 to 24 years,60,11
2016/2017,Total participation rate,Yukon,25 to 29 years,60,9
2016/2017,Total participation rate,Northwest Territories,15 to 19 years,61,85
2016/2017,Elementary/High School,Northwest Territories,15 to 19 years,61,74
2016/2017,Total participation rate,Northwest Territories,20 to 24 years,61,24
2016/2017,College,Northwest Territories,20 to 24 years,61,9
2016/2017,University,Northwest Territories,20 to 24 years,61,10
2016/2017,Total participation rate,Northwest Territories,25 to 29 years,61,11
2016/2017,University,Northwest Territories,25 to 29 years,61,6
2016/2017,Total participation rate,Nunavut,15 to 19 years,62,62
2016/2017,Elementary/High School,Nunavut,15 to 19 years,62,60
2016/2017,Total participation rate,Nunavut,20 to 24 years,62,8
2017/2018,Total participation rate,Canada,15 to 19 years,,83
2017/2018,Elementary/High School,Canada,15 to 19 years,,59
2017/2018,College,Canada,15 to 19 years,,11
2017/2018,University,Canada,15 to 19 years,,13
2017/2018,Total participation rate,Canada,20 to 24 years,,41
2017/2018,Elementary/High School,Canada,20 to 24 years,,1
2017/2018,College,Canada,20 to 24 years,,11
2017/2018,University,Canada,20 to 24 years,,28
2017/2018,Total participation rate,Canada,25 to 29 years,,12
2017/2018,Elementary/High School,Canada,25 to 29 years,,0
2017/2018,College,Canada,25 to 29 years,,4
2017/2018,University,Canada,25 to 29 years,,8
2017/2018,Total participation rate,Newfoundland and Labrador,15 to 19 years,10,84
2017/2018,Elementary/High School,Newfoundland and Labrador,15 to 19 years,10,60
2017/2018,College,Newfoundland and Labrador,15 to 19 years,10,8
2017/2018,University,Newfoundland and Labrador,15 to 19 years,10,15
2017/2018,Total participation rate,Newfoundland and Labrador,20 to 24 years,10,39
2017/2018,College,Newfoundland and Labrador,20 to 24 years,10,12
2017/2018,University,Newfoundland and Labrador,20 to 24 years,10,25
2017/2018,Total participation rate,Newfoundland and Labrador,25 to 29 years,10,14
2017/2018,College,Newfoundland and Labrador,25 to 29 years,10,5
2017/2018,University,Newfoundland and Labrador,25 to 29 years,10,9
2017/2018,Total participation rate,Prince Edward Island,15 to 19 years,11,85
2017/2018,Elementary/High School,Prince Edward Island,15 to 19 years,11,59
2017/2018,College,Prince Edward Island,15 to 19 years,11,7
2017/2018,University,Prince Edward Island,15 to 19 years,11,19
2017/2018,Total participation rate,Prince Edward Island,20 to 24 years,11,36
2017/2018,College,Prince Edward Island,20 to 24 years,11,9
2017/2018,University,Prince Edward Island,20 to 24 years,11,27
