Year,Persons in low income,Geography,GeoCode,Value
2023,Males,"Edmonton, Alberta",,9.0
2015,"Males, 18 to 64 years","Edmonton, Alberta",,8.2
2016,"Males, 18 to 64 years","Edmonton, Alberta",,9.6
2017,"Males, 18 to 64 years","Edmonton, Alberta",,9.0
2018,"Males, 18 to 64 years","Edmonton, Alberta",,7.2
2019,"Males, 18 to 64 years","Edmonton, Alberta",,10.3
2020,"Males, 18 to 64 years","Edmonton, Alberta",,6.3
2021,"Males, 18 to 64 years","Edmonton, Alberta",,7.9
2022,"Males, 18 to 64 years","Edmonton, Alberta",,10.1
2023,"Males, 18 to 64 years","Edmonton, Alberta",,9.4
2022,"Males, 65 years and over","Edmonton, Alberta",,6.1
2023,"Males, 65 years and over","Edmonton, Alberta",,2.6
2018,"Males, under 18 years","Edmonton, Alberta",,6.3
2019,"Males, under 18 years","Edmonton, Alberta",,9.8
2022,"Males, under 18 years","Edmonton, Alberta",,10.5
2023,"Males, under 18 years","Edmonton, Alberta",,12.3
