Year,Occupation,Type of work,Gender,Age group,Geography,GeoCode,Value
2015,"Natural resources, agriculture and related production occupations, except management",Full-time employees,Men+,15 to 24 years,Canada,,17.96
2015,"Natural resources, agriculture and related production occupations, except management",Full-time employees,Men+,25 to 54 years,Canada,,29.69
2015,"Natural resources, agriculture and related production occupations, except management",Full-time employees,Men+,55 years and over,Canada,,26.28
2015,"Natural resources, agriculture and related production occupations, except management",Full-time employees,Women+,15 years and over,Canada,,16.89
2015,"Natural resources, agriculture and related production occupations, except management",Full-time employees,Women+,15 to 24 years,Canada,,13.67
2015,"Natural resources, agriculture and related production occupations, except management",Full-time employees,Women+,25 to 54 years,Canada,,19.37
2015,"Natural resources, agriculture and related production occupations, except management",Full-time employees,Women+,55 years and over,Canada,,15.24
2015,"Occupations in manufacturing and utilities, except management",Full-time employees,Total - Gender,15 years and over,Canada,,22.01
2015,"Occupations in manufacturing and utilities, except management",Full-time employees,Total - Gender,15 to 24 years,Canada,,16.94
2015,"Occupations in manufacturing and utilities, except management",Full-time employees,Total - Gender,25 to 54 years,Canada,,22.54
2015,"Occupations in manufacturing and utilities, except management",Full-time employees,Total - Gender,55 years and over,Canada,,22.61
2015,"Occupations in manufacturing and utilities, except management",Full-time employees,Men+,15 years and over,Canada,,23.62
2015,"Occupations in manufacturing and utilities, except management",Full-time employees,Men+,15 to 24 years,Canada,,17.27
2015,"Occupations in manufacturing and utilities, except management",Full-time employees,Men+,25 to 54 years,Canada,,24.18
2015,"Occupations in manufacturing and utilities, except management",Full-time employees,Men+,55 years and over,Canada,,25.03
2015,"Occupations in manufacturing and utilities, except management",Full-time employees,Women+,15 years and over,Canada,,17.53
2015,"Occupations in manufacturing and utilities, except management",Full-time employees,Women+,15 to 24 years,Canada,,15.61
2015,"Occupations in manufacturing and utilities, except management",Full-time employees,Women+,25 to 54 years,Canada,,18.0
2015,"Occupations in manufacturing and utilities, except management",Full-time employees,Women+,55 years and over,Canada,,16.77
2015,"Total employees, all occupations",Part-time employees,Total - Gender,15 years and over,Canada,,18.09
2015,"Total employees, all occupations",Part-time employees,Total - Gender,15 to 24 years,Canada,,12.82
2015,"Total employees, all occupations",Part-time employees,Total - Gender,25 to 54 years,Canada,,21.79
2015,"Total employees, all occupations",Part-time employees,Total - Gender,55 years and over,Canada,,22.29
2015,"Total employees, all occupations",Part-time employees,Men+,15 years and over,Canada,,17.12
2015,"Total employees, all occupations",Part-time employees,Men+,15 to 24 years,Canada,,12.73
2015,"Total employees, all occupations",Part-time employees,Men+,25 to 54 years,Canada,,21.72
2015,"Total employees, all occupations",Part-time employees,Men+,55 years and over,Canada,,23.31
2015,"Total employees, all occupations",Part-time employees,Women+,15 years and over,Canada,,18.57
2015,"Total employees, all occupations",Part-time employees,Women+,15 to 24 years,Canada,,12.89
2015,"Total employees, all occupations",Part-time employees,Women+,25 to 54 years,Canada,,21.81
2015,"Total employees, all occupations",Part-time employees,Women+,55 years and over,Canada,,21.81
2015,Management occupations,Part-time employees,Total - Gender,15 years and over,Canada,,30.37
2015,Management occupations,Part-time employees,Total - Gender,15 to 24 years,Canada,,13.04
2015,Management occupations,Part-time employees,Total - Gender,25 to 54 years,Canada,,26.86
2015,Management occupations,Part-time employees,Total - Gender,55 years and over,Canada,,37.86
2015,Management occupations,Part-time employees,Men+,15 years and over,Canada,,32.18
2015,Management occupations,Part-time employees,Men+,25 to 54 years,Canada,,29.15
