Year,Groupe d'activité,Genre,Groupe d'âge,Géographie,GeoCode,Progress,Value
2015,Tâches ménagères,Hommes+,25 à 54 ans,Québec,24,,7.1
2015,Tâches ménagères,Femmes+,25 à 54 ans,Québec,24,,9.2
2015,Tâches ménagères,"Total, toutes les personnes",25 à 34 ans,Québec,24,1.71739130434783,6.3
2015,Tâches ménagères,Hommes+,25 à 34 ans,Québec,24,,4.6
2015,Tâches ménagères,Femmes+,25 à 34 ans,Québec,24,,7.9
2015,Tâches ménagères,"Total, toutes les personnes",35 à 44 ans,Québec,24,1.26582278481013,8.8
2015,Tâches ménagères,Hommes+,35 à 44 ans,Québec,24,,7.9
2015,Tâches ménagères,Femmes+,35 à 44 ans,Québec,24,,10.0
2015,Tâches ménagères,"Total, toutes les personnes",45 à 54 ans,Québec,24,1.18181818181818,9.6
2015,Tâches ménagères,Hommes+,45 à 54 ans,Québec,24,,8.8
2015,Tâches ménagères,Femmes+,45 à 54 ans,Québec,24,,10.4
2015,Tâches ménagères,"Total, toutes les personnes",55 à 64 ans,Québec,24,1.31521739130435,10.4
2015,Tâches ménagères,Hommes+,55 à 64 ans,Québec,24,,9.2
2015,Tâches ménagères,Femmes+,55 à 64 ans,Québec,24,,12.1
2015,Tâches ménagères,"Total, toutes les personnes",65 ans et plus,Québec,24,1.40217391304348,11.3
2015,Tâches ménagères,Hommes+,65 ans et plus,Québec,24,,9.2
2015,Tâches ménagères,Femmes+,65 ans et plus,Québec,24,,12.9
2015,Soins des enfants de moins de 18 ans,"Total, toutes les personnes","Total, 15 ans et plus",Québec,24,1.61538461538462,1.7
2015,Soins des enfants de moins de 18 ans,Hommes+,"Total, 15 ans et plus",Québec,24,,1.3
2015,Soins des enfants de moins de 18 ans,Femmes+,"Total, 15 ans et plus",Québec,24,,2.1
2015,Soins des enfants de moins de 18 ans,"Total, toutes les personnes",15 à 24 ans,Québec,24,,
2015,Soins des enfants de moins de 18 ans,Hommes+,15 à 24 ans,Québec,24,,
