Year,Géographie,Type de matières récupérées,Sources des matières préparées en vue du recyclage,GeoCode,Value
2018,Nouveau-Brunswick,Toutes les fibres cellulosiques,Toutes les sources des matières récupérées,13,36.4959240594058
2018,Nouveau-Brunswick,Toutes les fibres cellulosiques,Sources des matières résidentielles récupérées,13,21.3680260922495
2018,Nouveau-Brunswick,Toutes les fibres cellulosiques,Sources des matières non résidentielles récupérées,13,15.1278979671563
2018,Nouveau-Brunswick,Verre,Toutes les sources des matières récupérées,13,5.71579123604634
2018,Nouveau-Brunswick,Verre,Sources des matières résidentielles récupérées,13,2.88125716258467
2018,Nouveau-Brunswick,Verre,Sources des matières non résidentielles récupérées,13,2.83453407346167
2018,Nouveau-Brunswick,Métaux ferreux,Toutes les sources des matières récupérées,13,1.97145478827302
2018,Nouveau-Brunswick,Métaux ferreux,Sources des matières résidentielles récupérées,13,1.42894780901159
2018,Nouveau-Brunswick,Métaux ferreux,Sources des matières non résidentielles récupérées,13,0.542506979261438
2018,Nouveau-Brunswick,Cuivre et aluminium,Toutes les sources des matières récupérées,13,2.80208748379293
2018,Nouveau-Brunswick,Cuivre et aluminium,Sources des matières résidentielles récupérées,13,2.61000367295395
2018,Nouveau-Brunswick,Cuivre et aluminium,Sources des matières non résidentielles récupérées,13,0.192083810838978
2018,Nouveau-Brunswick,Métaux mélangés,Toutes les sources des matières récupérées,13,0.802079696611408
2018,Nouveau-Brunswick,Métaux mélangés,Sources des matières résidentielles récupérées,13,
2018,Nouveau-Brunswick,Métaux mélangés,Sources des matières non résidentielles récupérées,13,
2018,Nouveau-Brunswick,Électroménagers,Toutes les sources des matières récupérées,13,0.17391372062448
2018,Nouveau-Brunswick,Électroménagers,Sources des matières résidentielles récupérées,13,
2018,Nouveau-Brunswick,Électroménagers,Sources des matières non résidentielles récupérées,13,
2018,Nouveau-Brunswick,Matériel électronique,Toutes les sources des matières récupérées,13,1.11746054819162
2018,Nouveau-Brunswick,Matériel électronique,Sources des matières résidentielles récupérées,13,
2018,Nouveau-Brunswick,Matériel électronique,Sources des matières non résidentielles récupérées,13,
2018,Nouveau-Brunswick,Matières plastiques,Toutes les sources des matières récupérées,13,7.10839886462893
2018,Nouveau-Brunswick,Matières plastiques,Sources des matières résidentielles récupérées,13,4.06620661728728
2018,Nouveau-Brunswick,Matières plastiques,Sources des matières non résidentielles récupérées,13,3.04219224734165
2018,Nouveau-Brunswick,Récipients triangulaires et aseptiques,Toutes les sources des matières récupérées,13,0.61388947653268
2018,Nouveau-Brunswick,Récipients triangulaires et aseptiques,Sources des matières résidentielles récupérées,13,
2018,Nouveau-Brunswick,Récipients triangulaires et aseptiques,Sources des matières non résidentielles récupérées,13,
2018,Nouveau-Brunswick,Textiles,Toutes les sources des matières récupérées,13,0.0
2018,Nouveau-Brunswick,Textiles,Sources des matières résidentielles récupérées,13,0.0
