Year,Géographie,Déchets ménagers dangereux,GeoCode,Value
2013,"St. John's, Terre-Neuve-et-Labrador","Piles déchargées, excluant les batteries de voiture",,59.0
2013,"St. John's, Terre-Neuve-et-Labrador",Pesticides,,
2013,"Halifax, Nouvelle-Écosse",Des restes de médicaments ou des médicaments périmés,,36.0
2013,"Halifax, Nouvelle-Écosse",Des objets médicaux piquants ou tranchants,,11.0
2013,"Halifax, Nouvelle-Écosse",Restes de peinture ou solvants,,48.0
2013,"Halifax, Nouvelle-Écosse",Huiles pour moteur ou de l'antigel,,11.0
2013,"Halifax, Nouvelle-Écosse","Piles déchargées, excluant les batteries de voiture",,64.0
2013,"Halifax, Nouvelle-Écosse",Pesticides,,
2013,"Moncton, Nouveau-Brunswick",Des restes de médicaments ou des médicaments périmés,,43.0
2013,"Moncton, Nouveau-Brunswick",Des objets médicaux piquants ou tranchants,,17.0
2013,"Moncton, Nouveau-Brunswick",Restes de peinture ou solvants,,36.0
2013,"Moncton, Nouveau-Brunswick",Huiles pour moteur ou de l'antigel,,
2013,"Moncton, Nouveau-Brunswick","Piles déchargées, excluant les batteries de voiture",,62.0
2013,"Moncton, Nouveau-Brunswick",Pesticides,,
2013,"Saint John, Nouveau-Brunswick",Des restes de médicaments ou des médicaments périmés,,41.0
2013,"Saint John, Nouveau-Brunswick",Des objets médicaux piquants ou tranchants,,
2013,"Saint John, Nouveau-Brunswick",Restes de peinture ou solvants,,34.0
2013,"Saint John, Nouveau-Brunswick",Huiles pour moteur ou de l'antigel,,
2013,"Saint John, Nouveau-Brunswick","Piles déchargées, excluant les batteries de voiture",,59.0
2013,"Saint John, Nouveau-Brunswick",Pesticides,,
2013,"Saguenay, Québec",Des restes de médicaments ou des médicaments périmés,,49.0
2013,"Saguenay, Québec",Des objets médicaux piquants ou tranchants,,11.0
2013,"Saguenay, Québec",Restes de peinture ou solvants,,49.0
2013,"Saguenay, Québec",Huiles pour moteur ou de l'antigel,,18.0
2013,"Saguenay, Québec","Piles déchargées, excluant les batteries de voiture",,58.0
2013,"Saguenay, Québec",Pesticides,,
2013,"Québec, Québec",Des restes de médicaments ou des médicaments périmés,,46.0
2013,"Québec, Québec",Des objets médicaux piquants ou tranchants,,12.0
2013,"Québec, Québec",Restes de peinture ou solvants,,42.0
2013,"Québec, Québec",Huiles pour moteur ou de l'antigel,,11.0
2013,"Québec, Québec","Piles déchargées, excluant les batteries de voiture",,60.0
2013,"Québec, Québec",Pesticides,,
2013,"Sherbrooke, Québec",Des restes de médicaments ou des médicaments périmés,,60.0
2013,"Sherbrooke, Québec",Des objets médicaux piquants ou tranchants,,
2013,"Sherbrooke, Québec",Restes de peinture ou solvants,,59.0
2013,"Sherbrooke, Québec",Huiles pour moteur ou de l'antigel,,26.0
2013,"Sherbrooke, Québec","Piles déchargées, excluant les batteries de voiture",,74.0
2013,"Sherbrooke, Québec",Pesticides,,
2013,"Trois-Rivières, Québec",Des restes de médicaments ou des médicaments périmés,,47.0
2013,"Trois-Rivières, Québec",Des objets médicaux piquants ou tranchants,,
2013,"Trois-Rivières, Québec",Restes de peinture ou solvants,,52.0
2013,"Trois-Rivières, Québec",Huiles pour moteur ou de l'antigel,,33.0
2013,"Trois-Rivières, Québec","Piles déchargées, excluant les batteries de voiture",,62.0
2013,"Trois-Rivières, Québec",Pesticides,,
2013,"Montréal, Québec",Des restes de médicaments ou des médicaments périmés,,48.0
2013,"Montréal, Québec",Des objets médicaux piquants ou tranchants,,9.0
2013,"Montréal, Québec",Restes de peinture ou solvants,,44.0
2013,"Montréal, Québec",Huiles pour moteur ou de l'antigel,,12.0
2013,"Montréal, Québec","Piles déchargées, excluant les batteries de voiture",,61.0
2013,"Montréal, Québec",Pesticides,,2.0
