Year,Type de patrimoine,Niveau de gouvernement,Géographie,GeoCode,Value
2023,Ensemble du patrimoine culturel et naturel,Administrations publiques provinciales-territoriales et locales consolidées,Yukon,60,1363.74634
2015,Préservation de la diversité biologique et protection de la nature,Administration publique générale canadienne consolidée,Canada,,52.51439
2015,Services culturels,Administration publique générale canadienne consolidée,Canada,,149.70103
2015,Préservation de la diversité biologique et protection de la nature,Administrations publiques provinciales-territoriales et locales consolidées,Canada,,40.4991
2015,Services culturels,Administrations publiques provinciales-territoriales et locales consolidées,Canada,,100.96767
2015,Préservation de la diversité biologique et protection de la nature,Administrations publiques provinciales-territoriales et locales consolidées,Terre-Neuve-et-Labrador,10,17.03423
2015,Services culturels,Administrations publiques provinciales-territoriales et locales consolidées,Terre-Neuve-et-Labrador,10,88.95652
2015,Préservation de la diversité biologique et protection de la nature,Administrations publiques provinciales-territoriales et locales consolidées,Île-du-Prince-Édouard,11,13.82782
2015,Services culturels,Administrations publiques provinciales-territoriales et locales consolidées,Île-du-Prince-Édouard,11,89.8808
2015,Préservation de la diversité biologique et protection de la nature,Administrations publiques provinciales-territoriales et locales consolidées,Nouvelle-Écosse,12,28.80249
2015,Services culturels,Administrations publiques provinciales-territoriales et locales consolidées,Nouvelle-Écosse,12,118.41023
2015,Préservation de la diversité biologique et protection de la nature,Administrations publiques provinciales-territoriales et locales consolidées,Nouveau-Brunswick,13,28.97688
2015,Services culturels,Administrations publiques provinciales-territoriales et locales consolidées,Nouveau-Brunswick,13,81.66211
2015,Préservation de la diversité biologique et protection de la nature,Administrations publiques provinciales-territoriales et locales consolidées,Québec,24,6.48259
2015,Services culturels,Administrations publiques provinciales-territoriales et locales consolidées,Québec,24,127.08325
2015,Préservation de la diversité biologique et protection de la nature,Administrations publiques provinciales-territoriales et locales consolidées,Ontario,35,53.8321
2015,Services culturels,Administrations publiques provinciales-territoriales et locales consolidées,Ontario,35,93.22144
2015,Préservation de la diversité biologique et protection de la nature,Administrations publiques provinciales-territoriales et locales consolidées,Manitoba,46,25.51024
2015,Services culturels,Administrations publiques provinciales-territoriales et locales consolidées,Manitoba,46,114.40958
2015,Préservation de la diversité biologique et protection de la nature,Administrations publiques provinciales-territoriales et locales consolidées,Saskatchewan,47,16.93088
2015,Services culturels,Administrations publiques provinciales-territoriales et locales consolidées,Saskatchewan,47,98.02087
2015,Préservation de la diversité biologique et protection de la nature,Administrations publiques provinciales-territoriales et locales consolidées,Alberta,48,105.05652
2015,Services culturels,Administrations publiques provinciales-territoriales et locales consolidées,Alberta,48,103.85174
2015,Préservation de la diversité biologique et protection de la nature,Administrations publiques provinciales-territoriales et locales consolidées,Colombie-Britannique,59,6.92481
2015,Services culturels,Administrations publiques provinciales-territoriales et locales consolidées,Colombie-Britannique,59,67.35954
2015,Préservation de la diversité biologique et protection de la nature,Administrations publiques provinciales-territoriales et locales consolidées,Yukon,60,1406.99249
2015,Services culturels,Administrations publiques provinciales-territoriales et locales consolidées,Yukon,60,371.65839
2015,Préservation de la diversité biologique et protection de la nature,Administrations publiques provinciales-territoriales et locales consolidées,Territoires du Nord-Ouest,61,316.40563
2015,Services culturels,Administrations publiques provinciales-territoriales et locales consolidées,Territoires du Nord-Ouest,61,226.00402
2015,Préservation de la diversité biologique et protection de la nature,Administrations publiques provinciales-territoriales et locales consolidées,Nunavut,62,164.42861
2015,Services culturels,Administrations publiques provinciales-territoriales et locales consolidées,Nunavut,62,575.50014
2016,Préservation de la diversité biologique et protection de la nature,Administration publique générale canadienne consolidée,Canada,,45.19423
2016,Services culturels,Administration publique générale canadienne consolidée,Canada,,160.03521
2016,Préservation de la diversité biologique et protection de la nature,Administrations publiques provinciales-territoriales et locales consolidées,Canada,,36.7757
2016,Services culturels,Administrations publiques provinciales-territoriales et locales consolidées,Canada,,103.45934
2016,Préservation de la diversité biologique et protection de la nature,Administrations publiques provinciales-territoriales et locales consolidées,Terre-Neuve-et-Labrador,10,15.10614
2016,Services culturels,Administrations publiques provinciales-territoriales et locales consolidées,Terre-Neuve-et-Labrador,10,83.08377
2016,Préservation de la diversité biologique et protection de la nature,Administrations publiques provinciales-territoriales et locales consolidées,Île-du-Prince-Édouard,11,13.61554
2016,Services culturels,Administrations publiques provinciales-territoriales et locales consolidées,Île-du-Prince-Édouard,11,88.501
2016,Préservation de la diversité biologique et protection de la nature,Administrations publiques provinciales-territoriales et locales consolidées,Nouvelle-Écosse,12,23.33019
2016,Services culturels,Administrations publiques provinciales-territoriales et locales consolidées,Nouvelle-Écosse,12,111.34865
2016,Préservation de la diversité biologique et protection de la nature,Administrations publiques provinciales-territoriales et locales consolidées,Nouveau-Brunswick,13,14.41069
2016,Services culturels,Administrations publiques provinciales-territoriales et locales consolidées,Nouveau-Brunswick,13,78.60379
2016,Préservation de la diversité biologique et protection de la nature,Administrations publiques provinciales-territoriales et locales consolidées,Québec,24,6.32216
2016,Services culturels,Administrations publiques provinciales-territoriales et locales consolidées,Québec,24,134.58908
2016,Préservation de la diversité biologique et protection de la nature,Administrations publiques provinciales-territoriales et locales consolidées,Ontario,35,54.62473
2016,Services culturels,Administrations publiques provinciales-territoriales et locales consolidées,Ontario,35,95.05279
2016,Préservation de la diversité biologique et protection de la nature,Administrations publiques provinciales-territoriales et locales consolidées,Manitoba,46,26.63339
2016,Services culturels,Administrations publiques provinciales-territoriales et locales consolidées,Manitoba,46,114.90404
2016,Préservation de la diversité biologique et protection de la nature,Administrations publiques provinciales-territoriales et locales consolidées,Saskatchewan,47,14.97143
2016,Services culturels,Administrations publiques provinciales-territoriales et locales consolidées,Saskatchewan,47,103.91934
2016,Préservation de la diversité biologique et protection de la nature,Administrations publiques provinciales-territoriales et locales consolidées,Alberta,48,78.18036
2016,Services culturels,Administrations publiques provinciales-territoriales et locales consolidées,Alberta,48,103.92268
2016,Préservation de la diversité biologique et protection de la nature,Administrations publiques provinciales-territoriales et locales consolidées,Colombie-Britannique,59,6.78835
2016,Services culturels,Administrations publiques provinciales-territoriales et locales consolidées,Colombie-Britannique,59,68.91205
2016,Préservation de la diversité biologique et protection de la nature,Administrations publiques provinciales-territoriales et locales consolidées,Yukon,60,1089.52243
2016,Services culturels,Administrations publiques provinciales-territoriales et locales consolidées,Yukon,60,492.87919
2016,Préservation de la diversité biologique et protection de la nature,Administrations publiques provinciales-territoriales et locales consolidées,Territoires du Nord-Ouest,61,291.32305
2016,Services culturels,Administrations publiques provinciales-territoriales et locales consolidées,Territoires du Nord-Ouest,61,224.09466
2016,Préservation de la diversité biologique et protection de la nature,Administrations publiques provinciales-territoriales et locales consolidées,Nunavut,62,162.25425
2016,Services culturels,Administrations publiques provinciales-territoriales et locales consolidées,Nunavut,62,567.88988
2017,Préservation de la diversité biologique et protection de la nature,Administration publique générale canadienne consolidée,Canada,,50.56769
2017,Services culturels,Administration publique générale canadienne consolidée,Canada,,172.17094
2017,Préservation de la diversité biologique et protection de la nature,Administrations publiques provinciales-territoriales et locales consolidées,Canada,,41.20938
2017,Services culturels,Administrations publiques provinciales-territoriales et locales consolidées,Canada,,107.81206
2017,Préservation de la diversité biologique et protection de la nature,Administrations publiques provinciales-territoriales et locales consolidées,Terre-Neuve-et-Labrador,10,13.21398
2017,Services culturels,Administrations publiques provinciales-territoriales et locales consolidées,Terre-Neuve-et-Labrador,10,92.49786
2017,Préservation de la diversité biologique et protection de la nature,Administrations publiques provinciales-territoriales et locales consolidées,Île-du-Prince-Édouard,11,13.35648
2017,Services culturels,Administrations publiques provinciales-territoriales et locales consolidées,Île-du-Prince-Édouard,11,86.81715
2017,Préservation de la diversité biologique et protection de la nature,Administrations publiques provinciales-territoriales et locales consolidées,Nouvelle-Écosse,12,22.05514
2017,Services culturels,Administrations publiques provinciales-territoriales et locales consolidées,Nouvelle-Écosse,12,97.67276
2017,Préservation de la diversité biologique et protection de la nature,Administrations publiques provinciales-territoriales et locales consolidées,Nouveau-Brunswick,13,23.47733
2017,Services culturels,Administrations publiques provinciales-territoriales et locales consolidées,Nouveau-Brunswick,13,83.47496
2017,Préservation de la diversité biologique et protection de la nature,Administrations publiques provinciales-territoriales et locales consolidées,Québec,24,16.88205
2017,Services culturels,Administrations publiques provinciales-territoriales et locales consolidées,Québec,24,140.12101
2017,Préservation de la diversité biologique et protection de la nature,Administrations publiques provinciales-territoriales et locales consolidées,Ontario,35,61.22812
2017,Services culturels,Administrations publiques provinciales-territoriales et locales consolidées,Ontario,35,99.51345
2017,Préservation de la diversité biologique et protection de la nature,Administrations publiques provinciales-territoriales et locales consolidées,Manitoba,46,25.47324
2017,Services culturels,Administrations publiques provinciales-territoriales et locales consolidées,Manitoba,46,119.12486
2017,Préservation de la diversité biologique et protection de la nature,Administrations publiques provinciales-territoriales et locales consolidées,Saskatchewan,47,17.432
2017,Services culturels,Administrations publiques provinciales-territoriales et locales consolidées,Saskatchewan,47,103.72043
2017,Préservation de la diversité biologique et protection de la nature,Administrations publiques provinciales-territoriales et locales consolidées,Alberta,48,70.09164
2017,Services culturels,Administrations publiques provinciales-territoriales et locales consolidées,Alberta,48,115.4034
2017,Préservation de la diversité biologique et protection de la nature,Administrations publiques provinciales-territoriales et locales consolidées,Colombie-Britannique,59,10.53868
2017,Services culturels,Administrations publiques provinciales-territoriales et locales consolidées,Colombie-Britannique,59,69.31212
2017,Préservation de la diversité biologique et protection de la nature,Administrations publiques provinciales-territoriales et locales consolidées,Yukon,60,860.04098
2017,Services culturels,Administrations publiques provinciales-territoriales et locales consolidées,Yukon,60,379.42984
