Year,Pays d'origine,Value
2011 to 2015,Ouganda,2.43789622557846
2016 to 2021,Ouganda,2.76614930236408
1980 to 1990,Zambie,0.192648927895873
1991 to 2000,Zambie,1.19787359468839
2001 to 2010,Zambie,1.39626912593338
2011 to 2015,Zambie,0.54880797839965
2016 to 2021,Zambie,0.586623280348924
1980 to 1990,Zimbabwe,0.19729116274188
1991 to 2000,Zimbabwe,0.630669190464618
2001 to 2010,Zimbabwe,25.6736959324969
2011 to 2015,Zimbabwe,4.86120799768718
2016 to 2021,Zimbabwe,3.19666483412316
1980 to 1990,Algérie,0.0788151559968679
1991 to 2000,Algérie,9.10805526599687
2001 to 2010,Algérie,2.25206240213459
2011 to 2015,Algérie,0.662172324025456
2016 to 2021,Algérie,1.03883769566229
1980 to 1990,Égypte,0.145556162648429
1991 to 2000,Égypte,0.930436668706147
2001 to 2010,Égypte,1.42380923512379
2011 to 2015,Égypte,0.758046612075329
2016 to 2021,Égypte,2.54146032021607
1980 to 1990,Libye,1.23726335791701
1991 to 2000,Libye,4.05259972858891
2001 to 2010,Libye,4.84753054482858
2011 to 2015,Libye,2.90875265873389
2016 to 2021,Libye,20.1075860947985
1980 to 1990,Maroc,0.143586291628025
1991 to 2000,Maroc,0.510139811555409
2001 to 2010,Maroc,0.662206158914602
2011 to 2015,Maroc,0.390086334340946
2016 to 2021,Maroc,0.392373477311849
1980 to 1990,Soudan,0.499509787905647
1991 to 2000,Soudan,8.75295405459388
2001 to 2010,Soudan,9.48676609541041
2011 to 2015,Soudan,3.959924415661
2016 to 2021,Soudan,8.10262874863855
1980 to 1990,Tunisie,0.18019048296335
1991 to 2000,Tunisie,1.89449787127563
2001 to 2010,Tunisie,2.04343222306849
2011 to 2015,Tunisie,0.657759780690611
2016 to 2021,Tunisie,0.995954557083447
1980 to 1990,Angola,0.430055383822495
1991 to 2000,Angola,1.08057752361085
2001 to 2010,Angola,3.86336978136547
2011 to 2015,Angola,0.159813377750561
2016 to 2021,Angola,0.550204431352282
1980 to 1990,Cameroun,0.0
1991 to 2000,Cameroun,1.24054370415353
2001 to 2010,Cameroun,3.50810188504042
2011 to 2015,Cameroun,2.89930521884384
2016 to 2021,Cameroun,4.4767308169809
1980 to 1990,République centrafricaine,0.0
1991 to 2000,République centrafricaine,0.260863225106833
2001 to 2010,République centrafricaine,1.89179784337272
2011 to 2015,République centrafricaine,11.2314884281651
2016 to 2021,République centrafricaine,13.8866885333114
1980 to 1990,Tchad,0.417860494098306
1991 to 2000,Tchad,1.93838109700152
2001 to 2010,Tchad,2.84254147572571
2011 to 2015,Tchad,1.57019620147693
2016 to 2021,Tchad,2.66423635960763
1980 to 1990,Guinée équatoriale,0.0
1991 to 2000,Guinée équatoriale,0.0
2001 to 2010,Guinée équatoriale,0.840975700007148
2011 to 2015,Guinée équatoriale,0.0
2016 to 2021,Guinée équatoriale,0.0
1980 to 1990,Gabon,0.0
1991 to 2000,Gabon,0.783955565398553
2001 to 2010,Gabon,5.23265244896856
2011 to 2015,Gabon,0.0
2016 to 2021,Gabon,2.10369358104185
1980 to 1990,Botswana,0.76586919260538
1991 to 2000,Botswana,0.0
2001 to 2010,Botswana,2.21330832786769
2011 to 2015,Botswana,10.4379254305531
2016 to 2021,Botswana,7.49493935449002
1980 to 1990,Eswatini,0.0
1991 to 2000,Eswatini,0.960224154726679
2001 to 2010,Eswatini,2.6986183074266
2011 to 2015,Eswatini,10.0618805654777
2016 to 2021,Eswatini,4.97242994778534
1980 to 1990,Lesotho,1.38142840802533
1991 to 2000,Lesotho,0.0
2001 to 2010,Lesotho,0.751402869156716
2011 to 2015,Lesotho,0.0
2016 to 2021,Lesotho,0.0
1980 to 1990,Namibie,0.730293486694966
1991 to 2000,Namibie,0.0
2001 to 2010,Namibie,0.947943448537691
2011 to 2015,Namibie,9.89667659071704
2016 to 2021,Namibie,11.3843857812579
1980 to 1990,Afghanistan,28.9232140537773
1991 to 2000,Afghanistan,58.4844475307375
2001 to 2010,Afghanistan,64.0056170891429
2011 to 2015,Afghanistan,15.1018680848276
2016 to 2021,Afghanistan,23.7316222704542
1980 to 1990,Arménie,0.281520633702946
1991 to 2000,Arménie,4.1589905298186
2001 to 2010,Arménie,5.62901131021891
2011 to 2015,Arménie,3.76546300218654
2016 to 2021,Arménie,1.91610691667565
1980 to 1990,Azerbaïdjan,0.829745031797904
1991 to 2000,Azerbaïdjan,3.66968639043592
2001 to 2010,Azerbaïdjan,7.76163218598008
2011 to 2015,Azerbaïdjan,0.769000069210006
2016 to 2021,Azerbaïdjan,5.17836006319749
1980 to 1990,Bahreïn,0.0
1991 to 2000,Bahreïn,4.48021648406051
2001 to 2010,Bahreïn,1.64844584525709
2011 to 2015,Bahreïn,2.92036884258482
2016 to 2021,Bahreïn,6.32549604373514
1980 to 1990,Chypre,3.80526915620059
1991 to 2000,Chypre,5.27583934647123
2001 to 2010,Chypre,0.0
2011 to 2015,Chypre,4.09986786125883
2016 to 2021,Chypre,4.17500560779162
1980 to 1990,Géorgie,0.183524037749059
1991 to 2000,Géorgie,4.85148899127841
2001 to 2010,Géorgie,9.88114522216472
2011 to 2015,Géorgie,3.69226306055641
2016 to 2021,Géorgie,6.59856768850326
1980 to 1990,Irak,11.6588193807455
1991 to 2000,Irak,42.2151239334133
2001 to 2010,Irak,49.049276284126
2011 to 2015,Irak,40.4383366662249
2016 to 2021,Irak,35.9855696125178
1980 to 1990,Israël,0.880080456955375
1991 to 2000,Israël,3.02714176211231
2001 to 2010,Israël,4.15698973973155
2011 to 2015,Israël,2.29725384412835
2016 to 2021,Israël,11.4602614873888
1980 to 1990,Jordanie,0.414144640844104
1991 to 2000,Jordanie,3.99097075351663
2001 to 2010,Jordanie,5.00177563034877
2011 to 2015,Jordanie,6.86195547502332
2016 to 2021,Jordanie,23.985882749597
1980 to 1990,Kazakhstan,0.233180480613535
1991 to 2000,Kazakhstan,3.9673023327899
2001 to 2010,Kazakhstan,2.34599500493119
